level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max
0	0		LAREDO	27.5333	-99.4833	156.1				12920	1943.0	1947.0	True	1.4		0-20300-0-12920	IGRA2	laredo	4.5	27.5061111	-99.5072222	USW00012920				
0	0		Laredo AP, TX (WBAN=12920)	27.53	-99.48	-999.0				72252				1.0		0-20600-0-72252	SCHROEDER	laredo	4.5	27.5061111	-99.5072222		72252	2410.0	1961-03-15 00:00:00	1963-04-15 00:00:00
0	0		LAREDO WB AIRPORT	27.53	-99.47	153.3144				12920	19470623.0	19520401.0		0.0		0-20500-0-12920	WBAN	laredo	4.5	27.5061111	-99.5072222					
1	1		LAREDO WB AIRPORT	27.53	-99.47	153.3144				12920	19650331.0	19651026.0		0.0		0-20500-0-12920	WBAN	laredo	4.5	27.5061111	-99.5072222					
2	2		LAREDO AFB	27.53	-99.47	153.924				12907	19430101.0	19450331.0		0.0		0-20500-0-12907	WBAN	laredo	4.5	27.5061111	-99.5072222					
3	3		LAREDO AFB	27.53	-99.47	153.924				12907	19450331.0	19530101.0		0.0		0-20500-0-12907	WBAN	laredo	4.5	27.5061111	-99.5072222					
4	4		LAREDO AFB	27.53	-99.47	153.924				12907	19530101.0	19591231.0		0.0		0-20500-0-12907	WBAN	laredo	4.5	27.5061111	-99.5072222					
5	5		LAREDO AFB	27.53	-99.47	153.0096				12907	19610101.0	19641231.0		0.0		0-20500-0-12907	WBAN	laredo	4.5	27.5061111	-99.5072222					
6	6		LAREDO AFB	27.53	-99.47	153.0096				12907	19641231.0	19650301.0		0.0		0-20500-0-12907	WBAN	laredo	4.5	27.5061111	-99.5072222					
7	7		LAREDO AFB	27.53	-99.47	153.0096				12907	19650301.0	19660101.0		0.0		0-20500-0-12907	WBAN	laredo	4.5	27.5061111	-99.5072222					
8	8		LAREDO AFB	27.53	-99.47	153.924				12907	19660101.0	19720101.0		0.0		0-20500-0-12907	WBAN	laredo	4.5	27.5061111	-99.5072222					
9	9		LAREDO AFB	27.53	-99.47	153.924				12907	19720101.0	19730930.0		0.0		0-20500-0-12907	WBAN	laredo	4.5	27.5061111	-99.5072222					
10	10		LAREDO AFB	27.53	-99.47	153.924				12907	19421201.0	19430101.0		0.0		0-20500-0-12907	WBAN	laredo	4.5	27.5061111	-99.5072222					
11	11		LAREDO INTL AP	27.53	-99.47	144.78				12920	19440101.0	19460901.0		0.0		0-20500-0-12920	WBAN	laredo	4.5	27.5061111	-99.5072222					
12	12		LAREDO WB AIRPORT	27.53	-99.47	153.3144				12920	19520401.0	19650331.0		0.0		0-20500-0-12920	WBAN	laredo	4.5	27.5061111	-99.5072222					
13	13		LAREDO WB AIRPORT	27.53	-99.47	144.78				12920	19460901.0	19470623.0		0.0		0-20500-0-12920	WBAN	laredo	4.5	27.5061111	-99.5072222					
14	14		LAREDO INTL AP	27.53	-99.47	172.51680000000002				12920	19950101.0	99991231.0		0.0		0-20500-0-12920	WBAN	laredo	4.5	27.5061111	-99.5072222					
15	15		LAREDO INTL AP	27.53	-99.47	172.51680000000002				12920	19750724.0	19950101.0		0.0		0-20500-0-12920	WBAN	laredo	4.5	27.5061111	-99.5072222					
16	16		LAREDO INTL AP	27.53	-99.47	144.78				12920	19431028.0	19440101.0		0.0		0-20500-0-12920	WBAN	laredo	4.5	27.5061111	-99.5072222					
17	17		LAREDO INTL AP	27.55	-99.5	127.4064				12920	19400228.0	19410101.0		3.7		0-20500-0-12920	WBAN	laredo	4.5	27.5061111	-99.5072222					
18	18		LAREDO INTL AP	27.55	-99.5	127.4064				12920	19420901.0	19430526.0		3.7		0-20500-0-12920	WBAN	laredo	4.5	27.5061111	-99.5072222					
19	19		LAREDO INTL AP	27.55	-99.5	127.4064				12920	19411231.0	19420901.0		3.7		0-20500-0-12920	WBAN	laredo	4.5	27.5061111	-99.5072222					
20	20		LAREDO INTL AP	27.55	-99.5	127.4064				12920	19370301.0	19400228.0		3.7		0-20500-0-12920	WBAN	laredo	4.5	27.5061111	-99.5072222					
21	21		LAREDO INTL AP	27.55	-99.5	127.4064				12920	19410101.0	19411231.0		3.7		0-20500-0-12920	WBAN	laredo	4.5	27.5061111	-99.5072222					
0	0		KESZTHELY-OBSZERVATORIUM 	46.75	17.233333333333334	-999.0				12920				9621.4		0-20700-0-12920	WMO	laredo	4.5	27.5061111	-99.5072222		12920	2338.0		
