0-20000-0-58477	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.58477.bfr
0-20000-0-91489	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.91489.bfr
0-20000-0-22165	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.22165.bfr
0-20000-0-03124	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.3124.bfr
0-20000-0-12712	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.12712.bfr
0-20000-0-22001	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.221.bfr
0-20000-0-12713	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.12713.bfr
0-20000-0-03125	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.3125.bfr
0-20000-0-12714	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.12714.bfr
-1	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.47963.bfr
0-20000-0-27201	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.27201.bfr
0-20000-0-76679	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.11903.bfr
0-20000-0-12716	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.12716.bfr
0-20000-0-54374	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.54374.bfr
0-20000-0-16044	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.1644.bfr
0-20000-0-52418	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.52418.bfr
0-20000-0-56096	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.5696.bfr
0-20000-0-06011	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.611.bfr
0-20000-0-70326	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.25503.bfr
0-20000-0-42809	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.42809.bfr
